Año,Total_Población,Sexo,Edad,Mes_Alto_Desempleo,Posición_Ocupación,Sector_Económico,Nivel_Ingresos,Jornada,Nivel_Estudios,Profesión,Tipo_Empleo
2020,12164827,Mujer,47,Mayo,Trabajador por cuenta propia,Salud,"Más de $20,000",20 a 40 horas,Secundaria,Médico,Formal
2020,10876968,Hombre,25,Enero,Empleador,Educación,"$15,001 - $20,000",20 a 40 horas,Primaria,Comerciante,Informal
2020,11353700,Hombre,58,Julio,Empleador,Industria manufacturera,"$5,001 - $10,000",20 a 40 horas,Universidad,Docente,Informal
2020,10879506,Hombre,50,Enero,Trabajador por cuenta propia,Industria manufacturera,"Menos de $5,000",Menos de 20 horas,Primaria,Médico,Formal
2020,11296350,Hombre,63,Abril,Empleado,Construcción,"$10,001 - $15,000",20 a 40 horas,Secundaria,Ingeniero,Informal
2020,10920525,Hombre,49,Julio,Trabajador sin pago,Agricultura,"Más de $20,000",20 a 40 horas,Posgrado,Agricultor,Formal
2020,11349443,Hombre,31,Agosto,Trabajador por cuenta propia,Agricultura,"$10,001 - $15,000",Menos de 20 horas,Primaria,Docente,Formal
2020,10310065,Hombre,48,Enero,Empleado,Comercio,"$5,001 - $10,000",Menos de 20 horas,Primaria,Comerciante,Informal
2020,11012699,Mujer,19,Septiembre,Empleador,Industria manufacturera,"Menos de $5,000",Más de 40 horas,Posgrado,Agricultor,Formal
2020,10284158,Hombre,55,Enero,Trabajador por cuenta propia,Comercio,"Más de $20,000",20 a 40 horas,Sin estudios,Comerciante,Formal
2020,11419668,Mujer,50,Marzo,Trabajador familiar no remunerado,Comercio,"$5,001 - $10,000",Más de 40 horas,Sin estudios,Técnico,Informal
2020,11366567,Mujer,50,Julio,Trabajador por cuenta propia,Construcción,"$5,001 - $10,000",Más de 40 horas,Secundaria,Comerciante,Formal
2020,10885890,Mujer,43,Febrero,Empleador,Industria manufacturera,"Menos de $5,000",20 a 40 horas,Universidad,Agricultor,Formal
2020,10587620,Hombre,20,Julio,Empleado,Salud,"$5,001 - $10,000",Menos de 20 horas,Universidad,Técnico,Formal
2020,12059444,Mujer,41,Agosto,Empleado,Salud,"$5,001 - $10,000",Más de 40 horas,Secundaria,Abogado,Formal
2020,10849910,Hombre,31,Marzo,Empleador,Comercio,"$15,001 - $20,000",Más de 40 horas,Preparatoria,Comerciante,Informal
2020,11019471,Hombre,49,Agosto,Trabajador sin pago,Educación,"$10,001 - $15,000",Más de 40 horas,Primaria,Ingeniero,Formal
2020,12054747,Hombre,19,Octubre,Empleado,Construcción,"Menos de $5,000",20 a 40 horas,Sin estudios,Técnico,Informal
2020,10999897,Hombre,24,Enero,Empleador,Comercio,"$5,001 - $10,000",20 a 40 horas,Posgrado,Comerciante,Formal
2020,10787157,Mujer,59,Enero,Empleador,Construcción,"Menos de $5,000",Menos de 20 horas,Secundaria,Médico,Informal
2020,11158246,Hombre,25,Noviembre,Empleado,Industria manufacturera,"$5,001 - $10,000",Menos de 20 horas,Sin estudios,Ingeniero,Formal
2020,11154717,Mujer,35,Enero,Trabajador sin pago,Industria manufacturera,"Menos de $5,000",Más de 40 horas,Posgrado,Médico,Formal
2020,10336645,Mujer,61,Julio,Empleado,Agricultura,"$15,001 - $20,000",20 a 40 horas,Preparatoria,Agricultor,Formal
2020,10227827,Hombre,60,Febrero,Empleador,Salud,"$10,001 - $15,000",Más de 40 horas,Preparatoria,Abogado,Informal
2020,10251197,Mujer,30,Abril,Trabajador familiar no remunerado,Construcción,"Menos de $5,000",Más de 40 horas,Sin estudios,Agricultor,Informal
2020,11860868,Hombre,63,Diciembre,Empleado,Servicios,"$10,001 - $15,000",Menos de 20 horas,Universidad,Comerciante,Informal
2020,11921162,Mujer,52,Marzo,Empleador,Salud,"$10,001 - $15,000",Más de 40 horas,Universidad,Médico,Informal
2020,11741815,Mujer,44,Marzo,Trabajador sin pago,Industria manufacturera,"$10,001 - $15,000",20 a 40 horas,Secundaria,Técnico,Formal
2020,11907558,Mujer,61,Septiembre,Trabajador familiar no remunerado,Servicios,"$15,001 - $20,000",Menos de 20 horas,Universidad,Técnico,Formal
2020,10897940,Mujer,59,Agosto,Trabajador familiar no remunerado,Construcción,"Más de $20,000",Más de 40 horas,Primaria,Docente,Informal
2020,11261898,Hombre,56,Junio,Trabajador sin pago,Salud,"$5,001 - $10,000",Más de 40 horas,Primaria,Abogado,Informal
2020,10371428,Mujer,25,Septiembre,Trabajador sin pago,Agricultura,"Más de $20,000",Menos de 20 horas,Universidad,Docente,Informal
2020,12159799,Hombre,65,Abril,Empleador,Industria manufacturera,"Menos de $5,000",20 a 40 horas,Posgrado,Comerciante,Informal
2020,11297064,Mujer,32,Octubre,Empleador,Salud,"$15,001 - $20,000",Más de 40 horas,Sin estudios,Abogado,Informal
2020,10526529,Hombre,63,Enero,Trabajador sin pago,Construcción,"Menos de $5,000",20 a 40 horas,Primaria,Ingeniero,Informal
2020,10707161,Mujer,37,Abril,Trabajador sin pago,Salud,"Menos de $5,000",Menos de 20 horas,Sin estudios,Docente,Formal
2020,10820304,Hombre,31,Marzo,Empleado,Agricultura,"$10,001 - $15,000",20 a 40 horas,Sin estudios,Agricultor,Informal
2020,11587444,Mujer,18,Diciembre,Trabajador sin pago,Servicios,"$10,001 - $15,000",20 a 40 horas,Secundaria,Abogado,Informal
2020,11098679,Mujer,58,Octubre,Trabajador sin pago,Agricultura,"$15,001 - $20,000",Menos de 20 horas,Preparatoria,Comerciante,Informal
2020,10265096,Mujer,62,Agosto,Trabajador familiar no remunerado,Construcción,"Más de $20,000",Menos de 20 horas,Preparatoria,Comerciante,Informal
2020,10257311,Mujer,20,Agosto,Empleado,Industria manufacturera,"$10,001 - $15,000",Más de 40 horas,Sin estudios,Ingeniero,Formal
2020,11718922,Hombre,47,Julio,Empleador,Comercio,"Más de $20,000",20 a 40 horas,Sin estudios,Comerciante,Informal
2020,11358940,Mujer,31,Octubre,Trabajador familiar no remunerado,Agricultura,"Menos de $5,000",Más de 40 horas,Primaria,Docente,Informal
2020,10344912,Hombre,47,Mayo,Trabajador sin pago,Industria manufacturera,"Más de $20,000",Más de 40 horas,Posgrado,Docente,Informal
2020,11428220,Hombre,62,Septiembre,Trabajador familiar no remunerado,Comercio,"$15,001 - $20,000",20 a 40 horas,Primaria,Docente,Informal
2020,11460640,Mujer,45,Febrero,Trabajador por cuenta propia,Construcción,"Menos de $5,000",Menos de 20 horas,Preparatoria,Enfermero,Formal
2020,10211938,Mujer,65,Noviembre,Trabajador por cuenta propia,Construcción,"$15,001 - $20,000",Menos de 20 horas,Secundaria,Médico,Formal
2020,10913179,Mujer,32,Diciembre,Trabajador familiar no remunerado,Construcción,"Menos de $5,000",Menos de 20 horas,Primaria,Médico,Formal
2020,11752639,Hombre,46,Agosto,Empleador,Construcción,"$15,001 - $20,000",Menos de 20 horas,Posgrado,Comerciante,Formal
2020,11077919,Mujer,20,Mayo,Trabajador familiar no remunerado,Educación,"$15,001 - $20,000",Menos de 20 horas,Sin estudios,Ingeniero,Informal
2020,12040840,Mujer,48,Julio,Trabajador sin pago,Comercio,"$5,001 - $10,000",Menos de 20 horas,Sin estudios,Médico,Formal
2020,11396258,Hombre,60,Abril,Trabajador familiar no remunerado,Salud,"Más de $20,000",20 a 40 horas,Universidad,Técnico,Informal
2020,10340129,Hombre,55,Julio,Empleado,Educación,"Menos de $5,000",Menos de 20 horas,Primaria,Médico,Informal
2020,10479371,Mujer,18,Junio,Empleado,Educación,"Menos de $5,000",Menos de 20 horas,Universidad,Técnico,Formal
2020,10836158,Hombre,38,Abril,Trabajador familiar no remunerado,Construcción,"$5,001 - $10,000",Menos de 20 horas,Posgrado,Enfermero,Informal
2020,11203978,Hombre,24,Marzo,Trabajador familiar no remunerado,Educación,"Más de $20,000",Menos de 20 horas,Primaria,Médico,Formal
2020,12006036,Hombre,48,Septiembre,Empleado,Educación,"$5,001 - $10,000",Menos de 20 horas,Posgrado,Agricultor,Informal
2020,12166307,Hombre,34,Julio,Empleado,Construcción,"$15,001 - $20,000",Menos de 20 horas,Secundaria,Agricultor,Formal
2020,10603923,Mujer,43,Agosto,Trabajador sin pago,Construcción,"$5,001 - $10,000",Más de 40 horas,Primaria,Enfermero,Informal
2020,11554846,Hombre,33,Octubre,Trabajador sin pago,Servicios,"$15,001 - $20,000",Menos de 20 horas,Preparatoria,Docente,Informal
2020,10339112,Hombre,63,Marzo,Empleado,Servicios,"$10,001 - $15,000",20 a 40 horas,Secundaria,Enfermero,Informal
2020,10836479,Mujer,37,Agosto,Trabajador sin pago,Industria manufacturera,"$15,001 - $20,000",Más de 40 horas,Universidad,Médico,Informal
2020,10906898,Hombre,62,Agosto,Empleador,Educación,"Más de $20,000",Más de 40 horas,Posgrado,Ingeniero,Informal
2020,11519363,Mujer,35,Mayo,Trabajador sin pago,Educación,"$5,001 - $10,000",20 a 40 horas,Secundaria,Abogado,Formal
2020,10930885,Mujer,30,Junio,Trabajador sin pago,Salud,"$15,001 - $20,000",20 a 40 horas,Secundaria,Agricultor,Formal
2020,11811271,Hombre,62,Mayo,Trabajador por cuenta propia,Salud,"$10,001 - $15,000",Más de 40 horas,Universidad,Comerciante,Formal
2020,11873591,Mujer,55,Septiembre,Trabajador por cuenta propia,Agricultura,"$10,001 - $15,000",Más de 40 horas,Primaria,Abogado,Informal
2020,10583942,Mujer,41,Abril,Trabajador familiar no remunerado,Industria manufacturera,"$10,001 - $15,000",Más de 40 horas,Preparatoria,Comerciante,Formal
2020,10734198,Hombre,34,Febrero,Trabajador familiar no remunerado,Construcción,"Más de $20,000",20 a 40 horas,Sin estudios,Ingeniero,Formal
2020,11902868,Mujer,49,Agosto,Trabajador sin pago,Educación,"$10,001 - $15,000",Más de 40 horas,Universidad,Agricultor,Formal
2020,10757215,Hombre,45,Noviembre,Trabajador familiar no remunerado,Educación,"Menos de $5,000",20 a 40 horas,Preparatoria,Agricultor,Informal
2020,10450493,Hombre,29,Febrero,Empleador,Construcción,"Menos de $5,000",Menos de 20 horas,Sin estudios,Técnico,Formal
2020,11350268,Mujer,26,Febrero,Trabajador familiar no remunerado,Comercio,"Menos de $5,000",Más de 40 horas,Universidad,Docente,Formal
2020,10433689,Mujer,57,Diciembre,Empleador,Servicios,"$15,001 - $20,000",Menos de 20 horas,Primaria,Abogado,Informal
2020,12145845,Mujer,33,Marzo,Empleado,Educación,"Más de $20,000",20 a 40 horas,Primaria,Médico,Informal
2020,10626017,Hombre,28,Febrero,Trabajador sin pago,Salud,"Más de $20,000",20 a 40 horas,Preparatoria,Ingeniero,Formal
2020,10716304,Mujer,32,Abril,Trabajador familiar no remunerado,Educación,"$5,001 - $10,000",Menos de 20 horas,Primaria,Técnico,Formal
2020,10206644,Hombre,60,Mayo,Trabajador familiar no remunerado,Educación,"Más de $20,000",20 a 40 horas,Preparatoria,Abogado,Formal
2020,10410484,Hombre,44,Diciembre,Trabajador familiar no remunerado,Industria manufacturera,"$5,001 - $10,000",Más de 40 horas,Preparatoria,Agricultor,Formal
2020,11335114,Mujer,31,Noviembre,Trabajador familiar no remunerado,Industria manufacturera,"Más de $20,000",20 a 40 horas,Secundaria,Docente,Informal
2020,11264429,Mujer,46,Octubre,Trabajador por cuenta propia,Servicios,"$5,001 - $10,000",Más de 40 horas,Sin estudios,Agricultor,Formal
2020,11852702,Mujer,31,Abril,Empleador,Servicios,"$15,001 - $20,000",20 a 40 horas,Primaria,Técnico,Formal
2020,10995751,Mujer,19,Noviembre,Trabajador sin pago,Comercio,"Menos de $5,000",20 a 40 horas,Posgrado,Docente,Informal
2020,11398850,Mujer,41,Julio,Empleado,Industria manufacturera,"$15,001 - $20,000",Más de 40 horas,Preparatoria,Agricultor,Formal
2020,11117215,Mujer,40,Abril,Empleador,Servicios,"$10,001 - $15,000",20 a 40 horas,Primaria,Médico,Formal
2020,11990227,Hombre,20,Julio,Empleador,Agricultura,"$5,001 - $10,000",Menos de 20 horas,Posgrado,Médico,Formal
2020,11490692,Hombre,34,Febrero,Trabajador sin pago,Servicios,"$15,001 - $20,000",Menos de 20 horas,Secundaria,Médico,Informal
2020,10784085,Hombre,32,Julio,Empleador,Comercio,"Más de $20,000",Menos de 20 horas,Primaria,Ingeniero,Formal
2020,11400848,Hombre,36,Septiembre,Trabajador familiar no remunerado,Industria manufacturera,"$5,001 - $10,000",Menos de 20 horas,Sin estudios,Abogado,Formal
2020,10341310,Hombre,35,Marzo,Trabajador sin pago,Agricultura,"$15,001 - $20,000",Más de 40 horas,Secundaria,Médico,Formal
2020,11319160,Hombre,33,Enero,Empleador,Construcción,"$5,001 - $10,000",20 a 40 horas,Universidad,Docente,Formal
2020,11025870,Hombre,28,Enero,Trabajador familiar no remunerado,Comercio,"$5,001 - $10,000",Menos de 20 horas,Universidad,Comerciante,Informal
2020,11169734,Hombre,47,Marzo,Empleado,Salud,"$5,001 - $10,000",Menos de 20 horas,Posgrado,Docente,Formal
2020,10991517,Hombre,18,Mayo,Trabajador familiar no remunerado,Educación,"$15,001 - $20,000",Más de 40 horas,Preparatoria,Agricultor,Informal
2020,11557598,Mujer,56,Octubre,Trabajador familiar no remunerado,Construcción,"$10,001 - $15,000",Más de 40 horas,Preparatoria,Médico,Informal
2020,10464744,Hombre,31,Febrero,Trabajador sin pago,Servicios,"$10,001 - $15,000",Menos de 20 horas,Universidad,Agricultor,Informal
2020,10988412,Mujer,41,Enero,Empleador,Industria manufacturera,"$5,001 - $10,000",Menos de 20 horas,Primaria,Agricultor,Formal
2020,11143593,Hombre,59,Mayo,Trabajador familiar no remunerado,Comercio,"$5,001 - $10,000",Menos de 20 horas,Primaria,Enfermero,Informal
2020,11220842,Mujer,47,Diciembre,Trabajador familiar no remunerado,Servicios,"$5,001 - $10,000",20 a 40 horas,Primaria,Agricultor,Formal
2020,10714569,Hombre,58,Febrero,Empleador,Servicios,"Menos de $5,000",20 a 40 horas,Preparatoria,Agricultor,Informal
2020,10363836,Mujer,40,Septiembre,Trabajador sin pago,Industria manufacturera,"Menos de $5,000",20 a 40 horas,Sin estudios,Comerciante,Informal
2020,10605755,Mujer,50,Marzo,Empleado,Agricultura,"$5,001 - $10,000",Más de 40 horas,Posgrado,Técnico,Formal
2020,10251765,Hombre,58,Septiembre,Empleador,Agricultura,"$15,001 - $20,000",20 a 40 horas,Secundaria,Enfermero,Informal
2020,11503951,Mujer,36,Junio,Empleado,Construcción,"Más de $20,000",Más de 40 horas,Sin estudios,Enfermero,Informal
2020,11108922,Hombre,60,Septiembre,Trabajador sin pago,Educación,"Menos de $5,000",Menos de 20 horas,Preparatoria,Comerciante,Informal
2020,11733961,Mujer,27,Marzo,Trabajador por cuenta propia,Agricultura,"Más de $20,000",20 a 40 horas,Secundaria,Agricultor,Formal
2020,10287853,Hombre,37,Enero,Trabajador por cuenta propia,Comercio,"$15,001 - $20,000",Más de 40 horas,Primaria,Agricultor,Formal
2020,11095298,Mujer,31,Enero,Empleado,Comercio,"Menos de $5,000",20 a 40 horas,Posgrado,Enfermero,Formal
2020,10659474,Mujer,28,Noviembre,Trabajador familiar no remunerado,Agricultura,"Menos de $5,000",Más de 40 horas,Preparatoria,Comerciante,Informal
2020,11983824,Mujer,34,Octubre,Trabajador sin pago,Educación,"$10,001 - $15,000",Más de 40 horas,Posgrado,Comerciante,Formal
2020,11600377,Mujer,56,Abril,Trabajador por cuenta propia,Construcción,"Menos de $5,000",20 a 40 horas,Preparatoria,Técnico,Informal
2020,12171197,Mujer,49,Diciembre,Trabajador familiar no remunerado,Agricultura,"Más de $20,000",20 a 40 horas,Secundaria,Ingeniero,Formal
2020,11363948,Hombre,32,Abril,Trabajador familiar no remunerado,Comercio,"Menos de $5,000",Más de 40 horas,Universidad,Comerciante,Informal
2020,11757184,Mujer,44,Octubre,Empleador,Servicios,"Menos de $5,000",Menos de 20 horas,Primaria,Enfermero,Formal
2020,11825221,Mujer,21,Julio,Trabajador familiar no remunerado,Construcción,"$15,001 - $20,000",Menos de 20 horas,Preparatoria,Enfermero,Formal
2020,10899999,Mujer,25,Mayo,Trabajador por cuenta propia,Industria manufacturera,"$15,001 - $20,000",20 a 40 horas,Universidad,Abogado,Informal
2020,11101996,Hombre,36,Abril,Trabajador sin pago,Construcción,"$5,001 - $10,000",20 a 40 horas,Primaria,Comerciante,Informal
2020,11989287,Hombre,24,Febrero,Empleado,Construcción,"Menos de $5,000",Menos de 20 horas,Universidad,Agricultor,Informal
2020,12080267,Hombre,62,Noviembre,Trabajador por cuenta propia,Agricultura,"Menos de $5,000",20 a 40 horas,Primaria,Docente,Formal
2020,10811158,Mujer,61,Noviembre,Empleador,Salud,"Más de $20,000",Menos de 20 horas,Sin estudios,Médico,Informal
2020,10892357,Hombre,20,Octubre,Empleado,Agricultura,"Más de $20,000",Menos de 20 horas,Primaria,Médico,Informal
2020,11928453,Mujer,24,Mayo,Trabajador sin pago,Servicios,"Más de $20,000",Más de 40 horas,Sin estudios,Técnico,Formal
2020,10336194,Mujer,56,Mayo,Trabajador por cuenta propia,Salud,"Más de $20,000",Menos de 20 horas,Preparatoria,Abogado,Informal
2020,10267179,Mujer,39,Noviembre,Trabajador por cuenta propia,Salud,"$15,001 - $20,000",20 a 40 horas,Secundaria,Técnico,Informal
2020,11570466,Mujer,44,Abril,Empleador,Salud,"$10,001 - $15,000",Menos de 20 horas,Primaria,Enfermero,Formal
2020,11674789,Hombre,20,Febrero,Empleado,Educación,"Menos de $5,000",Menos de 20 horas,Sin estudios,Enfermero,Formal
2020,10513161,Hombre,36,Junio,Empleador,Educación,"$5,001 - $10,000",Más de 40 horas,Preparatoria,Agricultor,Informal
2020,10457149,Mujer,63,Abril,Trabajador familiar no remunerado,Salud,"Menos de $5,000",20 a 40 horas,Primaria,Agricultor,Formal
2020,10923697,Hombre,21,Enero,Empleador,Industria manufacturera,"$5,001 - $10,000",20 a 40 horas,Preparatoria,Agricultor,Informal
2020,11142905,Hombre,38,Diciembre,Trabajador familiar no remunerado,Salud,"$10,001 - $15,000",Más de 40 horas,Posgrado,Médico,Formal
2020,12022790,Hombre,34,Julio,Empleado,Industria manufacturera,"$10,001 - $15,000",Menos de 20 horas,Sin estudios,Médico,Formal
2020,11275386,Mujer,35,Abril,Trabajador por cuenta propia,Industria manufacturera,"Menos de $5,000",Menos de 20 horas,Posgrado,Comerciante,Informal
2020,11878159,Mujer,39,Enero,Empleado,Industria manufacturera,"Más de $20,000",Menos de 20 horas,Primaria,Médico,Informal
2020,11626809,Mujer,51,Julio,Trabajador sin pago,Educación,"Más de $20,000",Más de 40 horas,Primaria,Agricultor,Formal
2020,11154104,Mujer,52,Agosto,Empleado,Servicios,"$10,001 - $15,000",Menos de 20 horas,Preparatoria,Ingeniero,Informal
2020,11939698,Mujer,47,Octubre,Trabajador sin pago,Comercio,"$10,001 - $15,000",Más de 40 horas,Primaria,Enfermero,Informal
2020,10829738,Hombre,32,Noviembre,Trabajador sin pago,Servicios,"$15,001 - $20,000",20 a 40 horas,Sin estudios,Abogado,Formal
2020,10665150,Mujer,33,Julio,Empleado,Industria manufacturera,"Menos de $5,000",Menos de 20 horas,Secundaria,Agricultor,Formal
2020,11252249,Mujer,56,Noviembre,Empleado,Industria manufacturera,"Más de $20,000",Menos de 20 horas,Universidad,Técnico,Formal
2020,11993555,Hombre,42,Septiembre,Empleador,Comercio,"Más de $20,000",Más de 40 horas,Primaria,Docente,Informal
2020,10367094,Mujer,59,Abril,Trabajador familiar no remunerado,Agricultura,"Menos de $5,000",Menos de 20 horas,Posgrado,Técnico,Formal
2020,11578787,Mujer,60,Mayo,Trabajador familiar no remunerado,Comercio,"$15,001 - $20,000",Menos de 20 horas,Posgrado,Médico,Informal
2020,10404691,Mujer,37,Septiembre,Trabajador sin pago,Salud,"Menos de $5,000",Menos de 20 horas,Primaria,Ingeniero,Formal
2020,12199813,Hombre,22,Mayo,Trabajador por cuenta propia,Agricultura,"$15,001 - $20,000",20 a 40 horas,Sin estudios,Enfermero,Formal
2020,11209237,Mujer,23,Junio,Empleado,Servicios,"$5,001 - $10,000",20 a 40 horas,Primaria,Técnico,Formal
2020,12110337,Hombre,22,Marzo,Trabajador por cuenta propia,Servicios,"$5,001 - $10,000",Más de 40 horas,Posgrado,Abogado,Informal
2020,12139265,Mujer,19,Junio,Trabajador familiar no remunerado,Construcción,"$15,001 - $20,000",Menos de 20 horas,Universidad,Agricultor,Formal
2020,10551321,Hombre,57,Noviembre,Trabajador familiar no remunerado,Construcción,"Más de $20,000",Más de 40 horas,Posgrado,Ingeniero,Formal
2020,11950096,Mujer,53,Agosto,Trabajador familiar no remunerado,Servicios,"$10,001 - $15,000",Menos de 20 horas,Sin estudios,Docente,Informal
2020,10594433,Hombre,54,Junio,Empleado,Salud,"$10,001 - $15,000",Más de 40 horas,Secundaria,Agricultor,Formal
2020,10860959,Mujer,23,Marzo,Empleado,Educación,"Más de $20,000",Más de 40 horas,Sin estudios,Médico,Informal
2020,11236717,Mujer,25,Octubre,Empleado,Construcción,"$10,001 - $15,000",Menos de 20 horas,Secundaria,Agricultor,Informal
2020,10281660,Hombre,21,Mayo,Trabajador por cuenta propia,Salud,"$10,001 - $15,000",20 a 40 horas,Primaria,Técnico,Informal
2020,11982027,Mujer,22,Septiembre,Empleador,Agricultura,"$15,001 - $20,000",20 a 40 horas,Posgrado,Técnico,Informal
2020,10247672,Hombre,36,Junio,Trabajador por cuenta propia,Salud,"Menos de $5,000",Menos de 20 horas,Universidad,Ingeniero,Informal
2020,10437762,Hombre,34,Junio,Empleador,Agricultura,"$5,001 - $10,000",Más de 40 horas,Primaria,Ingeniero,Formal
2020,10302925,Mujer,37,Septiembre,Trabajador sin pago,Construcción,"Menos de $5,000",Más de 40 horas,Universidad,Técnico,Informal
2020,10410628,Mujer,20,Mayo,Trabajador familiar no remunerado,Agricultura,"$10,001 - $15,000",20 a 40 horas,Posgrado,Docente,Formal
2020,10344174,Hombre,55,Enero,Empleado,Industria manufacturera,"Menos de $5,000",20 a 40 horas,Secundaria,Agricultor,Formal
2020,10754240,Hombre,55,Septiembre,Trabajador por cuenta propia,Agricultura,"$10,001 - $15,000",Menos de 20 horas,Primaria,Ingeniero,Formal
2020,11186323,Hombre,64,Diciembre,Trabajador por cuenta propia,Comercio,"Más de $20,000",Menos de 20 horas,Preparatoria,Docente,Informal
2020,11409408,Hombre,49,Septiembre,Trabajador por cuenta propia,Agricultura,"$15,001 - $20,000",Menos de 20 horas,Universidad,Agricultor,Formal
2020,11930203,Mujer,40,Marzo,Trabajador familiar no remunerado,Educación,"$15,001 - $20,000",Más de 40 horas,Secundaria,Técnico,Formal
2020,11492652,Hombre,63,Julio,Empleador,Salud,"Más de $20,000",20 a 40 horas,Sin estudios,Ingeniero,Informal
2020,11438866,Hombre,65,Mayo,Trabajador por cuenta propia,Educación,"$5,001 - $10,000",Más de 40 horas,Universidad,Ingeniero,Formal
2020,10477764,Hombre,32,Abril,Empleado,Salud,"Menos de $5,000",Más de 40 horas,Preparatoria,Médico,Formal
2020,10779965,Hombre,54,Enero,Trabajador por cuenta propia,Salud,"Menos de $5,000",Más de 40 horas,Sin estudios,Agricultor,Formal
2020,10915877,Hombre,46,Marzo,Trabajador por cuenta propia,Salud,"Menos de $5,000",20 a 40 horas,Secundaria,Agricultor,Informal
2020,11583114,Mujer,46,Noviembre,Trabajador por cuenta propia,Construcción,"$5,001 - $10,000",Menos de 20 horas,Preparatoria,Comerciante,Formal
2020,12024419,Hombre,49,Agosto,Empleador,Industria manufacturera,"Menos de $5,000",20 a 40 horas,Sin estudios,Agricultor,Informal
2020,10532619,Hombre,21,Diciembre,Trabajador familiar no remunerado,Educación,"$10,001 - $15,000",Menos de 20 horas,Preparatoria,Ingeniero,Informal
2020,10495064,Mujer,35,Marzo,Trabajador familiar no remunerado,Construcción,"Menos de $5,000",20 a 40 horas,Universidad,Ingeniero,Informal
2020,10929479,Mujer,59,Abril,Trabajador familiar no remunerado,Comercio,"$10,001 - $15,000",20 a 40 horas,Preparatoria,Técnico,Formal
2020,11207367,Hombre,46,Marzo,Empleado,Construcción,"$5,001 - $10,000",Más de 40 horas,Preparatoria,Agricultor,Formal
2020,12189180,Hombre,25,Mayo,Empleador,Educación,"$10,001 - $15,000",Más de 40 horas,Sin estudios,Técnico,Informal
2020,11765320,Mujer,19,Febrero,Trabajador sin pago,Agricultura,"$5,001 - $10,000",20 a 40 horas,Secundaria,Abogado,Formal
2020,11516003,Mujer,51,Enero,Trabajador por cuenta propia,Agricultura,"$10,001 - $15,000",Más de 40 horas,Universidad,Agricultor,Informal
2020,10203062,Mujer,30,Marzo,Empleado,Salud,"$10,001 - $15,000",Más de 40 horas,Preparatoria,Técnico,Informal
2020,11429334,Hombre,58,Julio,Trabajador sin pago,Educación,"Más de $20,000",20 a 40 horas,Sin estudios,Agricultor,Informal
2020,11509921,Hombre,33,Junio,Empleado,Construcción,"$10,001 - $15,000",20 a 40 horas,Preparatoria,Abogado,Informal
2020,11234211,Hombre,45,Septiembre,Empleado,Salud,"Menos de $5,000",Menos de 20 horas,Universidad,Médico,Formal
2020,11061374,Hombre,31,Agosto,Trabajador familiar no remunerado,Educación,"Menos de $5,000",Menos de 20 horas,Posgrado,Enfermero,Formal
